Price,Close,High,Low,Open,Volume
Ticker,BIO,BIO,BIO,BIO,BIO
Date,,,,,
2000-01-03,11.3125,11.6875,11.3125,11.6875,12000
2000-01-04,10.96875,11.0625,10.875,11.0625,13200
2000-01-05,10.875,10.96875,10.625,10.96875,30000
2000-01-06,11.0,11.0,10.875,10.875,19800
2000-01-07,11.0,11.125,11.0,11.0,49200
2000-01-10,11.25,11.25,11.0625,11.125,12000
2000-01-11,11.5,11.6875,11.125,11.125,35400
2000-01-12,11.625,11.625,11.5,11.5,13000
2000-01-13,10.875,11.5625,10.625,11.5,95400
2000-01-14,11.3125,11.3125,11.0,11.0,78600
2000-01-18,11.5625,11.625,11.125,11.1875,23200
2000-01-19,11.375,11.625,11.375,11.625,81200
2000-01-20,11.0,11.4375,11.0,11.375,78600
2000-01-21,11.0625,11.125,10.875,10.875,183200
2000-01-24,11.125,11.1875,11.0,11.125,42600
2000-01-25,11.5,11.5,11.125,11.125,39000
2000-01-26,11.375,11.5625,11.3125,11.5625,6200
2000-01-27,11.5625,11.6875,11.25,11.3125,18600
2000-01-28,11.5,11.6875,11.5,11.5,9000
2000-01-31,11.53125,11.625,11.1875,11.1875,37200
2000-02-01,11.5,11.6875,11.5,11.5,19600
2000-02-02,11.9375,12.0,11.875,12.0,28800
2000-02-03,12.5,12.5625,12.0625,12.0625,18400
2000-02-04,13.0,13.0,12.625,12.625,28400
2000-02-07,13.4375,13.4375,13.0625,13.125,19600
2000-02-08,12.9375,13.5625,12.9375,13.5,34000
2000-02-09,13.0625,13.15625,13.0625,13.0625,2400
2000-02-10,13.0,13.0625,12.875,13.0625,10200
2000-02-11,13.1875,13.1875,13.0,13.0625,34800
2000-02-14,12.375,13.3125,11.9375,13.3125,74800
2000-02-15,12.5,12.5,12.375,12.4375,6200
2000-02-16,13.25,13.25,12.5625,12.5625,72400
2000-02-17,13.375,13.5,13.1875,13.25,41600
2000-02-18,13.6875,13.6875,13.4375,13.4375,41600
2000-02-22,14.125,14.125,13.40625,13.5625,38200
2000-02-23,14.1875,14.875,14.1875,14.375,38400
2000-02-24,14.5,14.5,14.0625,14.1875,74000
2000-02-25,14.71875,14.75,14.375,14.5,51800
2000-02-28,15.5,15.75,14.75,14.75,80200
2000-02-29,16.4375,16.5,15.375,15.46875,41400
2000-03-01,15.71875,16.5,15.4375,16.375,71400
2000-03-02,15.34375,15.625,15.34375,15.625,42200
2000-03-03,15.5,15.625,14.875,15.1875,60000
2000-03-06,15.75,16.125,15.25,15.75,63000
2000-03-07,15.25,15.875,15.25,15.625,28000
2000-03-08,15.34375,15.6875,15.28125,15.625,22800
2000-03-09,15.25,15.25,15.0,15.1875,26800
2000-03-10,14.75,15.1875,14.75,15.125,43600
2000-03-13,15.0,15.0,14.75,14.75,17800
2000-03-14,14.9375,15.25,14.9375,15.03125,227200
2000-03-15,14.90625,14.96875,14.8125,14.9375,95000
2000-03-16,14.96875,14.96875,14.75,14.8125,5400
2000-03-17,14.5,14.625,14.375,14.625,226600
2000-03-20,14.5,14.5,14.375,14.5,12000
2000-03-21,14.5,14.5,14.21875,14.5,18200
2000-03-22,14.40625,14.46875,14.375,14.46875,1400
2000-03-23,14.125,14.4375,14.125,14.3125,14000
2000-03-24,14.0625,14.1875,14.0625,14.1875,17000
2000-03-27,14.1875,14.1875,14.0,14.1875,36200
2000-03-28,14.125,14.3125,14.125,14.125,11800
2000-03-29,14.0,14.125,13.9375,14.0625,33200
2000-03-30,13.9375,14.0625,13.875,14.0625,20000
2000-03-31,13.625,14.0,13.625,13.9375,63200
2000-04-03,13.375,13.625,13.375,13.625,11000
2000-04-04,12.875,13.3125,12.84375,13.3125,13600
2000-04-05,12.9375,13.0,12.8125,13.0,29000
2000-04-06,13.0,13.0,12.75,13.0,15600
2000-04-07,13.03125,13.0625,12.875,13.0625,21200
2000-04-10,13.4375,13.625,13.03125,13.03125,15200
2000-04-11,13.0625,13.5625,13.0625,13.5625,20600
2000-04-12,13.0,13.1875,13.0,13.125,2800
2000-04-13,12.90625,13.0,12.90625,13.0,19000
2000-04-14,13.125,13.125,13.0,13.0,7400
2000-04-17,12.9375,13.0,12.8125,13.0,7800
2000-04-18,12.59375,12.875,12.5625,12.875,6200
2000-04-19,12.6875,12.8125,12.5,12.5,13000
2000-04-20,12.5625,12.71875,12.4375,12.71875,15400
2000-04-24,12.5625,12.625,12.375,12.5,11000
2000-04-25,12.5625,12.5625,12.375,12.5,5200
2000-04-26,12.71875,12.71875,12.5,12.53125,8600
2000-04-27,12.9375,13.0,12.625,12.625,24200
2000-04-28,12.75,12.875,12.75,12.875,22000
2000-05-01,13.375,13.5625,12.875,12.875,30200
2000-05-02,13.25,13.375,13.1875,13.375,6600
2000-05-03,13.0,13.125,13.0,13.125,2400
2000-05-04,13.0625,13.0625,13.0,13.0,8600
2000-05-05,12.9375,13.125,12.9375,13.0625,31000
2000-05-08,12.96875,12.96875,12.8125,12.875,7200
2000-05-09,12.875,12.9375,12.875,12.9375,16600
2000-05-10,12.6875,12.859375,12.625,12.8125,19600
2000-05-11,12.84375,12.84375,12.78125,12.8125,2200
2000-05-12,13.0,13.0,12.8125,12.8125,19600
2000-05-15,13.1875,13.1875,13.0625,13.0625,34600
2000-05-16,13.25,13.25,13.125,13.125,49800
2000-05-17,13.0625,13.15625,13.0,13.15625,61000
2000-05-18,13.25,13.25,13.03125,13.03125,33200
2000-05-19,13.125,13.25,13.125,13.125,8600
2000-05-22,13.0625,13.125,13.0625,13.125,2800
2000-05-23,12.8125,13.0,12.8125,13.0,21800
2000-05-24,12.5,12.8125,12.4375,12.75,9200
2000-05-25,12.125,12.5,12.125,12.5,20200
2000-05-26,12.1875,12.1875,12.09375,12.1875,16200
2000-05-30,11.9375,12.125,11.875,12.125,11600
2000-05-31,11.59375,11.9375,11.59375,11.9375,37400
2000-06-01,11.5625,11.625,11.5625,11.625,6200
2000-06-02,11.75,11.75,11.625,11.625,8000
2000-06-05,11.5625,11.8125,11.5,11.8125,8800
2000-06-06,11.625,11.6875,11.375,11.4375,31800
2000-06-07,11.5625,11.625,11.5625,11.5625,10600
2000-06-08,11.53125,11.75,11.53125,11.6875,9000
2000-06-09,11.75,11.8125,11.5625,11.6875,38800
2000-06-12,11.75,11.875,11.75,11.8125,4800
2000-06-13,11.75,11.75,11.5,11.6875,8600
2000-06-14,12.25,12.25,11.625,11.6875,24400
2000-06-15,12.3125,12.3125,12.1875,12.25,19600
2000-06-16,11.9375,12.3125,11.90625,12.3125,18400
2000-06-19,11.6875,11.9375,11.6875,11.9375,9600
2000-06-20,11.59375,11.625,11.5625,11.625,3000
2000-06-21,11.75,11.8125,11.5625,11.8125,21400
2000-06-22,11.125,11.6875,11.125,11.6875,14400
2000-06-23,10.6875,11.1875,10.6875,11.1875,75000
2000-06-26,10.6875,11.0,10.6875,10.6875,25600
2000-06-27,10.75,10.75,10.5,10.5,50800
2000-06-28,10.9375,11.0,10.75,10.75,7200
2000-06-29,11.375,11.375,10.9375,11.0,79000
2000-06-30,12.5,12.5,11.3125,11.3125,37400
2000-07-03,12.125,12.375,12.125,12.375,8800
2000-07-05,11.9375,12.125,11.9375,12.125,87400
