Price,Close,High,Low,Open,Volume
Ticker,CNP,CNP,CNP,CNP,CNP
Date,,,,,
2000-01-03,5.413818359375,5.550684654370584,5.383403565984438,5.535476982413358,809371
2000-01-04,5.474646091461182,5.489853207742667,5.383401742201162,5.383401742201162,1492289
2000-01-05,5.702754497528076,5.809205932432021,5.459436853387126,5.459436853387126,926097
2000-01-06,5.733170509338379,5.839621967219358,5.733170509338379,5.778792405423466,1352906
2000-01-07,5.82441520690918,5.870037105773973,5.7635856414069915,5.794000424158086,800237
2000-01-10,5.748377323150635,5.824414546670867,5.73317020876077,5.7939997673675006,365243
2000-01-11,5.702754497528076,5.778791158098959,5.641925499385498,5.717961609432835,748517
2000-01-12,5.794003009796143,5.824417806120177,5.641929578699915,5.641929578699915,489205
2000-01-13,5.778794765472412,5.824417230713292,5.70275805743613,5.794002437394002,751720
2000-01-14,5.6267218589782715,5.702758573900742,5.6267218589782715,5.657136655052048,601186
2000-01-18,5.581097602844238,5.657134285923613,5.5354751525776456,5.59630471925063,614591
2000-01-19,5.6267218589782715,5.672343777826966,5.550685144055802,5.550685144055802,512100
2000-01-20,5.56588888168335,5.61151132330863,5.535474104107698,5.596303659259002,436062
2000-01-21,5.611513614654541,5.641928404649445,5.5354763644053655,5.596305944395174,1038078
2000-01-24,5.459439754486084,5.626720826947865,5.444232634500394,5.6115137069621746,786714
2000-01-25,5.216121673583984,5.565890330436742,5.155292102599267,5.520268427460079,948280
2000-01-26,5.429025173187256,5.459439411246467,5.200914534076551,5.246536992212974,1065006
2000-01-27,5.459439754486084,5.52026933547652,5.398610724019487,5.398610724019487,570700
2000-01-28,5.398611545562744,5.505062502709613,5.337781955315458,5.413818667862605,940688
2000-01-31,5.550682544708252,5.550682544708252,5.398609186078248,5.413816301731776,516370
2000-02-01,5.429025173187256,5.55068377699551,5.383402715050833,5.535476107442101,433689
2000-02-02,5.474646091461182,5.52026799082934,5.429024192093024,5.505060324024151,727402
2000-02-03,5.854828357696533,5.870035469571429,5.565888277361594,5.596303051634933,2008660
2000-02-04,5.672338962554932,5.8548275840822415,5.596302312180288,5.8548275840822415,1444484
2000-02-07,5.596305847167969,5.6571354261009565,5.550683938230137,5.6419283066296195,637960
2000-02-08,5.641925811767578,5.657132924514324,5.581096259733444,5.59630337248019,882681
2000-02-09,5.641925811767578,5.687547700531391,5.626718148497257,5.641925811767578,1160617
2000-02-10,5.611513614654541,5.748379343845866,5.5810988246596365,5.657135524384983,1224911
2000-02-11,5.474646091461182,5.61151234008936,5.429024192093024,5.596304673284171,1438671
2000-02-14,5.52104377746582,5.598368688574583,5.505578347360196,5.52104377746582,2782088
2000-02-15,5.474647521972656,5.536508116752903,5.39732205842474,5.536508116752903,560498
2000-02-16,5.397320747375488,5.474646192140479,5.366390457498561,5.4591813271293415,557295
2000-02-17,5.273601531982422,5.428252462106503,5.242671233986647,5.397322164110728,491459
2000-02-18,5.242667198181152,5.258132055346794,5.134411518458565,5.227201781161145,861803
