Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2000-01-03,129.62649536132812,132.81314505130095,128.92434829194087,132.21902378275627,4605131
2000-01-04,124.4413833618164,127.89809212383693,124.4413833618164,127.24996232637034,4615898
2000-01-05,124.22528839111328,127.03386618668476,123.19908124197622,124.22528839111328,5694973
2000-01-06,125.88618469238281,126.97990530129015,123.25314442527312,123.68523922240274,4146783
2000-01-07,130.7607421875,131.2468377037604,127.0339796299026,127.89815310522629,4202747
2000-01-10,130.70672607421875,133.1372284359335,130.5987085162615,131.94898577178378,3177193
2000-01-11,130.9227294921875,131.94894550624127,130.16658205392272,130.49064288334074,3155597
2000-01-12,131.3548126220703,132.43502904769588,130.11255341455922,130.5446482392428,3827343
2000-01-13,132.86709594726562,133.8933034632905,132.21896618784447,132.32699194163075,3120229
2000-01-14,130.4906768798828,133.62331799181547,129.24842549219787,132.54310118827127,3856138
2000-01-18,127.89816284179688,129.30244897332096,126.81794591540803,129.30244897332096,3817828
2000-01-19,128.51922607421875,130.43661528308684,126.38578533769548,126.60182861091774,3098569
2000-01-20,126.11576080322266,129.41043588336433,123.25317236372109,128.81631468887548,6418237
2000-01-21,124.54949951171875,128.11422836647807,124.38746488114994,127.84417615182248,5009017
2000-01-24,119.36444091796875,126.11582057757676,117.90613749658168,125.5757078935653,5658102
2000-01-25,119.68844604492188,121.30878334045642,118.392186113816,119.31036816807396,5297409
2000-01-26,122.22697448730469,122.87510450107268,120.01252408277081,121.41680990648584,3308713
2000-01-27,122.49701690673828,122.49701690673827,118.4461863415886,122.33498236342281,4015389
2000-01-28,115.79965209960938,121.41679469052902,115.47558300612003,121.25476014378434,6227875
2000-01-31,115.79965209960938,117.47398982229083,114.989479365886,115.79965209960938,4545224
2000-02-01,117.5279769897461,118.3921583287731,115.7996308205578,116.01567409170633,5704613
2000-02-02,115.85363006591797,118.93225261792783,115.85363006591797,118.50016611109474,4553049
2000-02-03,120.33656311035156,120.82265843545447,116.87985405953823,117.47397515379365,4221651
2000-02-04,122.33502960205078,123.68530697849876,121.41683900500118,121.84892578439955,3790785
2000-02-07,117.96009826660156,122.4970244880528,117.41998584026733,122.44300746731508,3815386
