Price,Close,High,Low,Open,Volume
Ticker,PFE,PFE,PFE,PFE,PFE
Date,,,,,
2000-01-03,11.458942413330078,11.638690186683863,11.36906816529738,11.526347557320893,12873345
2000-01-04,11.032038688659668,11.324129772028636,10.784885084192124,11.2342555369373,14208974
2000-01-05,11.211786270141602,11.45893985501855,11.076975289546125,11.099443665860129,12981591
2000-01-06,11.616218566894531,11.773497915070495,11.211785647565737,11.2342540226321,11115273
2000-01-07,12.402620315551758,12.53743060467096,11.616221903375077,12.222871817969583,17962163
2000-01-10,12.380149841308594,12.58236742074446,12.245339567107761,12.58236742074446,10413731
2000-01-11,12.222867012023926,12.582363865836632,12.222867012023926,12.312740502765768,9747076
2000-01-12,12.627304077148438,12.694709936417706,12.380149741635476,12.402618843199589,11423252
2000-01-13,13.301359176635742,13.346297382612228,12.447556389853027,12.559899013947927,27705866
2000-01-14,13.301359176635742,13.52604442482554,13.301359176635742,13.458640006707128,17055828
2000-01-18,13.121613502502441,13.391235539356787,12.874459125555695,13.346298774118281,11459615
2000-01-19,13.301359176635742,13.323828279623985,13.054206270880856,13.211485655529085,10596389
2000-01-20,13.082289695739746,13.256419789054384,12.874455231910368,13.211483037406182,8411342
2000-01-21,12.604835510253906,13.14407951643547,12.582367853159832,13.14407951643547,13022802
2000-01-24,12.357683181762695,12.672241959026831,11.998186197383804,12.582368435643705,13734463
2000-01-25,12.537425994873047,12.739643522334768,12.335209912834031,12.402615755321273,9903595
2000-01-26,12.537425994873047,12.582364186813011,12.357679008804014,12.514958344325771,7728771
2000-01-27,12.402620315551758,12.73964820648462,12.402620315551758,12.425087974360006,9058708
2000-01-28,12.64976978302002,12.82951823155112,12.177931731726579,12.402616931034744,11834628
2000-01-31,13.009265899658203,13.121608492572868,12.22286774925554,12.22286774925554,10634544
2000-02-01,13.301359176635742,13.368765040177314,12.762115159149484,12.784584262137727,12345713
2000-02-02,12.94186782836914,13.301363474373794,12.851994278223884,13.278895809549292,7527141
2000-02-03,12.807053565979004,13.166550587463309,12.69471237286642,12.964334416267977,9268876
2000-02-04,12.851990699768066,12.986800987449927,12.694711308094286,12.986800987449927,6965991
2000-02-07,13.301359176635742,13.301359176635742,12.784584262137727,12.896926886232627,13399924
2000-02-08,13.593451499938965,13.638388264497465,13.256423597615276,13.323829467164671,16190178
2000-02-09,12.986793518066406,13.548506340561817,12.986793518066406,13.526037249493044,11812389
2000-02-10,12.582367897033691,13.121611905095563,12.582367897033691,13.121611905095563,11148685
2000-02-11,12.582367897033691,12.78458403870111,12.22287092804369,12.78458403870111,10721288
2000-02-14,12.582367897033691,12.694710519165175,12.065591546144239,12.065591546144239,8846644
2000-02-15,12.784591674804688,12.89693436403729,12.492500393715119,12.604843082947722,8255666
2000-02-16,12.163784980773926,12.636820419319177,12.163784980773926,12.614295750297538,10407091
2000-02-17,12.253881454467773,12.389035208704613,12.118728424776085,12.298932222849952,8953835
2000-02-18,12.253881454467773,12.253881454467773,11.84842236539271,12.253881454467773,10871061
2000-02-22,12.073673248291016,12.186300128126344,11.938520267943733,12.051147147779064,9207006
2000-02-23,12.253881454467773,12.253881454467773,11.870947749583799,12.186304577349354,9581071
2000-02-24,11.915998458862305,12.006100719724904,11.735794661682254,11.848422306624217,9788076
2000-02-25,11.668216705322266,11.98357422689101,11.533063688805683,11.893471974364928,8700770
2000-02-28,11.600640296936035,11.69074254742405,11.51053804644802,11.578114915450296,8546148
2000-02-29,11.578116416931152,11.84842247890414,11.397911892585721,11.84842247890414,12447318
2000-03-01,11.488015174865723,11.690745101619958,11.352862131877973,11.578117445039297,11586833
2000-03-02,11.533066749572754,11.533066749572754,11.352862921241275,11.533066749572754,8803219
2000-03-03,11.758320808410645,12.073678379611376,11.352861695048441,12.073678379611376,10588589
2000-03-06,11.420439720153809,11.735797342949818,11.35286355247665,11.555592780053438,11152585
2000-03-07,10.812243461608887,11.352856069416232,10.812243461608887,11.307804596114465,15320312
2000-03-08,11.69074535369873,11.93852605860985,10.879826353741771,11.172657832438464,19821946
2000-03-09,12.389031410217285,12.389031410217285,11.623163510719921,11.75831649897359,19181957
2000-03-10,12.614291191101074,12.70439273280394,12.253882126108849,12.659341961952508,20526439
2000-03-13,12.36650562286377,12.65933770864745,12.073674261625035,12.65933770864745,12301445
2000-03-14,11.983572006225586,12.321454847176803,11.893469770396273,12.321454847176803,9108036
2000-03-15,12.704391479492188,12.839543778713463,12.163779384426613,12.208830150833704,16351545
2000-03-16,13.154901504516602,13.177426162255154,12.839543254365255,13.042273868553302,19343113
2000-03-17,12.907122611999512,13.08732715407078,12.794494954341276,12.997225607580374,13465377
2000-03-20,12.614291191101074,12.997224916973828,12.253882126108849,12.97469880700292,8288129
2000-03-21,13.2224760055542,13.335102172237123,12.907117811936285,12.997220774008511,14331660
2000-03-22,12.83954906463623,13.019753653543386,12.479141335912756,12.884601298681146,18326109
2000-03-23,12.704391479492188,12.95217141927631,12.546713072522248,12.546713072522248,10665004
2000-03-24,12.56923770904541,12.929646737847913,12.54671305042665,12.704391457118907,9484524
2000-03-27,12.524187088012695,12.794493138205318,12.501662429132624,12.56923785486309,9767734
2000-03-28,12.63681411743164,12.817018625192587,12.343981973456378,12.343981973456378,9288691
2000-03-29,13.109851837158203,13.24500414217142,12.653708641603984,12.704392023937952,14706146
2000-03-30,13.154901504516602,13.267529140479901,12.997223103986018,13.13237539768787,10455785
2000-03-31,13.177428245544434,13.290055899313634,12.862071394626835,13.177428245544434,9122475
2000-04-03,13.695513725280762,13.920768999637895,13.245003176566495,13.33510470667327,20075011
2000-04-04,14.326234817504883,14.41633784376709,13.695520879124189,13.943300940890618,35368340
2000-04-05,13.920766830444336,14.123495966139554,13.830663865287596,13.87571607241095,10348594
2000-04-06,13.83066463470459,13.920767604873868,13.605410832006513,13.740563113625358,10042090
2000-04-07,13.988348960876465,14.213604284977798,13.853195186779457,13.875721298825797,9818537
2000-04-10,14.348752975463867,14.528957478917471,13.9658193113063,14.03339618123767,16211574
2000-04-11,14.348752975463867,14.596534348848841,14.258651448282139,14.326226869123362,13789271
2000-04-12,14.55148696899414,14.776740839327964,14.146027104212287,14.236128652345815,17862033
2000-04-13,14.281179428100586,14.551486970714095,14.03339944615885,14.483910085060717,13212944
2000-04-14,13.672989845275879,14.078449694978364,13.290056106314255,14.033398922587073,14472369
2000-04-17,13.695513725280762,14.01087052974467,13.33510470667327,13.425207685870241,14601378
2000-04-18,14.258657455444336,14.28118212218432,13.695519050583359,13.695519050583359,14987248
2000-04-19,14.889376640319824,15.31736285069651,14.191085637744091,14.303713359039333,21162950
2000-04-20,14.956948280334473,15.182203643367975,14.686642134512422,15.182203643367975,11451394
2000-04-24,15.67776107788086,15.948067153455662,14.866842851156452,14.956944393317924,15705022
2000-04-25,15.655234336853027,15.767861984560904,15.204725195111845,15.54260813823548,10930718
2000-04-26,15.67776107788086,15.67776107788086,15.317353460144586,15.407455002306056,10977094
2000-04-27,15.407454490661621,15.700286666597734,15.137148424063032,15.137148424063032,10821945
2000-04-28,15.182198524475098,15.452504579159642,15.047046221677965,15.407453811560597,9442575
2000-05-01,15.069571495056152,15.67776050515421,14.8893669682259,15.227249912623748,8701192
2000-05-02,15.475029945373535,15.587657583515039,15.092096265510465,15.137147030949025,11289499
2000-05-03,15.384932518005371,15.655238657283533,15.227254057517335,15.475035530491912,12143872
2000-05-04,15.497557640075684,15.61018530028499,15.227251545391447,15.317354543013186,6728631
2000-05-05,16.083219528198242,16.195847170728253,15.159672279816043,15.272299922346054,13274287
2000-05-08,16.62383460998535,16.713936160510176,16.19585007135666,16.218374734442605,19277133
2000-05-09,16.114665985107422,16.498348404853534,16.024386829216613,16.45320810094634,11734287
2000-05-10,15.66891098022461,16.317785550414794,15.572991136487445,15.911533127957942,10972245
2000-05-11,15.42065143585205,15.753551357498106,15.279591261099561,15.73098265876874,10377895
2000-05-12,15.56170654296875,15.663270019423416,15.053892064541724,15.30215640442226,8216035
2000-05-15,15.888965606689453,15.979243284142207,15.41500417025462,15.460143008980998,8647121
2000-05-16,16.069522857666016,16.204939377587944,15.618131554079875,16.046952711717434,13044936
2000-05-17,16.250080108642578,16.362927947671626,15.956675436782385,16.069524727734787,14851914
2000-05-18,16.317790985107422,16.453207536411927,16.159804282623735,16.29522083392824,7625479
2000-05-19,15.956679344177246,16.15980637532431,15.821262775336246,16.13723622122229,7669009
2000-05-22,15.866394996643066,16.317786274532033,15.618130664958,16.046951798183272,9559358
2000-05-23,15.956679344177246,16.06952866276365,15.595567042010867,15.821262775336246,7328673
2000-05-24,15.979247093200684,16.227512943260937,15.663273694872627,15.663273694872627,8767488
2000-05-25,16.487060546875,16.520915044621738,16.04695498001419,16.092093826368707,10757862
2000-05-26,16.295225143432617,16.408074477249606,16.137238399167085,16.204947418687716,6293961
2000-05-30,15.956679344177246,16.046958508661625,15.776123919055912,15.911540487896913,8749465
2000-05-31,16.069522857666016,16.25007821756192,15.776118219950387,15.798686913975782,7391597
2000-06-01,16.250080108642578,16.656332619531817,16.20494126341563,16.49834593527582,10491305
2000-06-02,15.730981826782227,16.588624275455533,15.618133983333275,16.588624275455533,10964130
2000-06-05,15.43757438659668,15.866395534354687,15.25701757893741,15.821256695420658,10231600
2000-06-06,15.685839653015137,15.821257629737422,15.324727468294443,15.52785298145463,9990655
2000-06-07,15.70840835571289,15.956672687649982,15.618130680812694,15.685838211026288,5864245
2000-06-08,15.979247093200684,16.04695609339198,15.730982695063924,15.798690243331727,6758986
2000-06-09,16.61119842529297,16.61119842529297,15.934111201540277,16.024388917271132,6991814
2000-06-12,16.024383544921875,16.52091371882194,16.024383544921875,16.272649357833547,5991990
2000-06-13,16.554763793945312,16.746604913280272,16.27264501324904,16.385492815912126,11890806
2000-06-14,16.82560157775879,16.94973374981002,16.566052886721625,16.588621580591024,11655027
2000-06-15,16.972307205200195,16.972307205200195,16.65633381402841,16.7466115109565,8795419
2000-06-16,17.31085205078125,17.37856105454031,16.769182924555924,16.769182924555924,15176651
2000-06-19,16.882028579711914,17.265710948437864,16.882028579711914,17.265710948437864,8754102
2000-06-20,16.701467514038086,16.927163138708035,16.340355385719977,16.83688546960926,11612761
2000-06-21,16.927165985107422,17.0400138164184,16.7466091646252,16.97230482724716,17290132
2000-06-22,16.520915985107422,16.904599830771286,16.069526043942563,16.904599830771286,17932440
2000-06-23,16.566049575805664,16.79174372900797,16.340353970680468,16.611188406446125,15039842
2000-06-26,16.701467514038086,16.746606348587473,16.430633054818752,16.61118984493931,16788217
2000-06-27,16.972307205200195,17.011803879096668,16.58862481537061,16.79175035942055,12328111
2000-06-28,16.786102294921875,16.949731107661034,16.701466802258377,16.836884752058335,13451675
2000-06-29,16.695823669433594,16.859452472761873,16.4757702396262,16.859452472761873,17503040
2000-06-30,17.33341407775879,17.372910736117195,16.520909317353155,16.520909317353155,17022416
2000-07-03,17.220571517944336,17.265710362393484,16.994875843775272,17.265710362393484,6093069
