Price,Close,High,Low,Open,Volume
Ticker,V,V,V,V,V
Date,,,,,
2008-03-19,12.441914558410645,15.194550522660787,12.111598242700628,13.102547189830679,708486000
2008-03-20,14.170567512512207,14.313704897502314,12.662123563175124,12.860313659309469,198985200
2008-03-24,13.153193473815918,14.908273310923198,12.992439660180915,14.806976525351173,149566400
2008-03-25,13.92833423614502,14.148545054107787,13.17301106332972,13.340371755402483,87092000
2008-03-26,14.084685325622559,14.199195904897563,13.558381544924096,13.813826089364937,43111600
2008-03-27,13.85346508026123,14.256450514660301,13.796210626644587,14.10450616468493,39829600
2008-03-28,13.820432662963867,13.97017610910498,13.688306488151232,13.95476141671143,24675200
2008-03-31,13.73235034942627,13.978986295114053,13.664084675513996,13.785200489197596,22157200
2008-04-01,13.567187309265137,14.023023590900934,13.280913441770013,13.88649313225634,60410800
2008-04-02,13.723541259765625,13.723541259765625,13.32275754623882,13.59141507466102,43836400
2008-04-03,14.423809051513672,14.597775805041724,13.61343314752333,13.642060790011678,100868000
2008-04-04,14.199197769165039,14.384174095252666,14.038443093333592,14.291685932208852,36394400
2008-04-07,14.322509765625,14.489870433903498,14.097893822395312,14.335721875200287,28301600
2008-04-08,14.994154930114746,15.02718689133884,14.271863661022746,14.291683509787338,53925600
2008-04-09,14.487675666809082,15.132893686786643,14.448037636636965,15.07123490209132,48324400
2008-04-10,14.558144569396973,14.694675949442841,14.337933641625217,14.56915578781598,22372000
2008-04-11,14.558144569396973,14.703482908086789,14.368763037107177,14.368763037107177,26421600
2008-04-14,14.463451385498047,14.806979837772404,14.430419415838797,14.688065755044565,28443600
2008-04-15,14.170567512512207,14.655032378626764,14.093494052925355,14.59777708861564,23888000
2008-04-16,14.56474494934082,14.743115193661584,14.21681141590924,14.21681141590924,25136800
2008-04-17,14.762937545776367,14.919287068426815,14.53612060897254,14.591173328782233,22459600
2008-04-18,15.194549560546875,15.513854640151333,14.798169334763255,14.976541276403662,104099600
2008-04-21,15.628365516662598,15.96528787472399,15.161517873291734,15.30025179489978,58848000
2008-04-22,15.476414680480957,15.94326217905444,15.414755925590606,15.837560256331647,47357600
2008-04-23,15.432382583618164,15.789123219731453,15.346500454177848,15.62396502002683,37319600
2008-04-24,15.92124080657959,16.07318510939608,15.423563950210015,15.679007593252585,38086800
2008-04-25,16.53783416748047,16.753641535387764,16.27578440368462,16.736024264522797,101460000
2008-04-28,16.654542922973633,17.020093673296376,16.493789972829408,16.846126932126833,132517200
2008-04-29,17.810649871826172,17.810649871826172,15.63496765383753,16.328632047734086,197308400
2008-04-30,18.3765926361084,18.676079491893308,17.852491478522435,17.925161453839788,147543600
2008-05-01,18.806001663208008,19.299273358746174,18.47568548064607,18.583588296528642,116395600
2008-05-02,18.222450256347656,19.268451932693896,17.83708121769378,19.222207849664514,136648800
2008-05-05,18.73112678527832,18.82802005770212,17.79743362944596,18.244461205278853,70377200
2008-05-06,19.275053024291992,19.411584339066806,18.662867206564226,18.821419267573624,75913200
2008-05-07,19.48865509033203,19.78373674515077,19.30367883150387,19.561325054903815,100464800
2008-05-08,19.224403381347656,19.763919165650144,18.924916560977483,19.708866466024375,92836400
2008-05-09,18.24667739868164,19.085680486170634,18.171804810465062,18.896298956069682,94312000
2008-05-12,18.03526496887207,18.603409239645295,17.19846325160569,18.420633871283545,147471600
2008-05-13,18.140966415405273,18.387603134127225,17.79083202443703,18.019851474662726,53249600
2008-05-14,18.10793685913086,18.574782732370874,17.93617100455595,18.343562374419527,51400400
2008-05-15,18.112348556518555,18.26209205251713,17.86130823676742,18.1740073466222,36688800
2008-05-16,18.138765335083008,18.24446558485063,17.89433119739201,18.213636205328807,34066800
2008-05-19,18.34796905517578,18.6606680777111,18.090322748442123,18.11674697677857,45473200
2008-05-20,18.220251083374023,18.46248275979749,18.03747729630079,18.251080477823773,40702000
2008-05-21,17.804044723510742,18.372189050706247,17.731374748621146,18.207030933270943,41831600
2008-05-22,17.024503707885742,17.748997752047263,16.77126252339462,17.742391694027603,85283600
2008-05-23,16.813098907470703,17.024501132498788,16.542240489184156,16.700790897898568,42196400
2008-05-27,17.339393615722656,17.383436772830553,16.37487115606758,16.938610126451408,62776400
2008-05-28,18.0396671295166,18.04627318426396,17.517768643575845,17.680724154285514,52996000
2008-05-29,18.77297019958496,19.147327877576,18.279698491154704,18.37218662147131,100613200
2008-05-30,19.017406463623047,19.2816587743982,18.896289841140558,18.94253391152245,72016000
2008-06-02,18.953548431396484,19.147333381103604,18.629838202169147,18.984377817029994,36856000
2008-06-03,19.28166389465332,19.36754600246504,18.94474152091878,19.16054892008391,48411600
2008-06-04,18.82363510131836,19.40058678728449,18.779591897759904,19.175972329403862,40684400
2008-06-05,19.211183547973633,19.211183547973633,18.84783550872224,19.03941944798286,27059600
2008-06-06,18.420644760131836,18.935937533521177,18.3986240029921,18.916119356118237,41748000
2008-06-09,18.088109970092773,18.706901609162855,17.740176599196417,18.49770207910755,45240000
2008-06-10,17.68514060974121,18.248881776315248,17.53099361892577,17.682939709926845,36048400
2008-06-11,17.11919403076172,17.837081998917125,17.088364640725207,17.837081998917125,56996400
2008-06-12,17.51995849609375,17.786413176722164,17.297546952805096,17.385629867336814,44605600
2008-06-13,17.953779220581055,18.015437951610068,17.649889040477607,17.67411235339249,30689200
2008-06-16,18.336957931518555,18.38760716954216,17.859100759192902,17.9427819628775,34384000
2008-06-17,18.645252227783203,18.713518733593556,18.427243957154474,18.519732110745394,33277600
2008-06-18,18.466886520385742,18.651862873074332,18.374398344041445,18.436057128270978,33724000
2008-06-19,18.55716323852539,18.58579171756017,17.97360596693266,18.383198186287405,36925200
2008-06-20,18.403024673461914,18.607820875747134,18.22245180435592,18.270898470714375,42546800
2008-06-23,17.85028839111328,18.57478218482132,17.84147975677357,18.46467677568773,30141200
2008-06-24,18.202625274658203,18.26428402896623,17.28875013168551,17.630075858769253,49891200
2008-06-25,18.07050323486328,18.590201016150516,18.02646173342901,18.356778034412816,50711600
2008-06-26,17.418678283691406,17.77982395126158,17.180850157220657,17.748994565986724,76562800
2008-06-27,18.189414978027344,18.24887284544088,17.29756208750269,17.352614797290954,176022800
2008-06-30,17.905336380004883,18.242258574407433,17.682924721785085,18.05948492023939,49301200
2008-07-01,17.92736053466797,17.92736053466797,17.440693228915542,17.537586510433663,44921600
2008-07-02,17.489145278930664,18.145374350231393,17.4627210522165,18.03526892538785,33804000
